sl,date,artist,album,song,text
117,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Tellin' lies and rubbin' shoulders
118,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',So they called her mouth a motor
119,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Someone's always tryin'
120,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',To start my baby cryin'
121,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Talkin', squealin', spyin'"
122,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Sayin' you just wanna be startin' somethin'
123,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
124,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
125,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
126,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
127,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
128,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
129,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
130,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
131,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too high to get over yeah, yeah"
132,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
133,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
134,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
135,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're a vegetable, you're a vegetable"
136,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Still they hate you, you're a vegetable"
137,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're just a buffet, you're a vegetable"
138,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"They eat off of you, you're a vegetable"
139,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"If you can't feed your baby yeah, yeah"
140,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Then don't have a baby yeah, yeah"
141,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And don't think maybe yeah, yeah"
142,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"If you can't feed your baby yeah, yeah"
143,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You'll be always tryin'
144,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',To stop that child from cryin'
145,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"Hustlin', stealin', lyin'"
146,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Now baby's slowly dyin'
147,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
148,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
149,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
150,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
151,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"It's too high to get over yeah, yeah"
152,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"It's too low to get under yeah, yeah"
153,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
154,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
155,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"It's too high to get over yeah, yeah"
156,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
157,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
158,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
159,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',Lift your head up high
160,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',And scream out to the world
161,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',I know I am someone
