sl,date,artist,album,song,word,sentiment
52,30/11/82,Michael Jackson,thriller,Thriller,grisly,disgust
52,30/11/82,Michael Jackson,thriller,Thriller,grisly,fear
52,30/11/82,Michael Jackson,thriller,Thriller,grisly,negative
52,30/11/82,Michael Jackson,thriller,Thriller,tomb,sadness
53,30/11/82,Michael Jackson,thriller,Thriller,seal,positive
53,30/11/82,Michael Jackson,thriller,Thriller,seal,trust
53,30/11/82,Michael Jackson,thriller,Thriller,doom,fear
53,30/11/82,Michael Jackson,thriller,Thriller,doom,negative
54,30/11/82,Michael Jackson,thriller,Thriller,fight,anger
54,30/11/82,Michael Jackson,thriller,Thriller,fight,fear
54,30/11/82,Michael Jackson,thriller,Thriller,fight,negative
54,30/11/82,Michael Jackson,thriller,Thriller,alive,anticipation
54,30/11/82,Michael Jackson,thriller,Thriller,alive,joy
54,30/11/82,Michael Jackson,thriller,Thriller,alive,positive
54,30/11/82,Michael Jackson,thriller,Thriller,alive,trust
55,30/11/82,Michael Jackson,thriller,Thriller,shiver,anger
55,30/11/82,Michael Jackson,thriller,Thriller,shiver,anticipation
55,30/11/82,Michael Jackson,thriller,Thriller,shiver,fear
55,30/11/82,Michael Jackson,thriller,Thriller,shiver,negative
55,30/11/82,Michael Jackson,thriller,Thriller,shiver,sadness
56,30/11/82,Michael Jackson,thriller,Thriller,mortal,negative
56,30/11/82,Michael Jackson,thriller,Thriller,resist,negative
57,30/11/82,Michael Jackson,thriller,Thriller,evil,anger
57,30/11/82,Michael Jackson,thriller,Thriller,evil,disgust
57,30/11/82,Michael Jackson,thriller,Thriller,evil,fear
57,30/11/82,Michael Jackson,thriller,Thriller,evil,negative
57,30/11/82,Michael Jackson,thriller,Thriller,evil,sadness
58,30/11/82,Michael Jackson,thriller,Thriller,maniacal,negative
58,30/11/82,Michael Jackson,thriller,Thriller,laugh,joy
58,30/11/82,Michael Jackson,thriller,Thriller,laugh,positive
58,30/11/82,Michael Jackson,thriller,Thriller,laugh,surprise
66,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
66,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
66,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
70,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
70,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
70,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
71,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
71,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
71,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',doctor,positive
71,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',doctor,trust
72,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',fever,fear
72,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',found,joy
72,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',found,positive
72,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',found,trust
73,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',time,anticipation
73,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hit,anger
73,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hit,negative
74,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',breakdown,negative
76,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',start,anticipation
76,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
76,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
86,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
86,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
86,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
90,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
90,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
90,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',love,joy
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',love,positive
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pretend,negative
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,anticipation
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,joy
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,positive
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,surprise
91,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,trust
92,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,anticipation
92,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,joy
92,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,positive
92,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',good,surprise
