sl,Year,artist,album,song,text
139,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"If you can't feed your baby yeah, yeah"
140,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Then don't have a baby yeah, yeah"
141,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And don't think maybe yeah, yeah"
142,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"If you can't feed your baby yeah, yeah"
143,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You'll be always tryin'
144,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',To stop that child from cryin'
145,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Hustlin', stealin', lyin'"
146,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Now baby's slowly dyin'
147,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
148,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
149,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I said you wanna be startin' somethin'
150,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',You got to be startin' somethin'
151,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"It's too high to get over yeah, yeah"
152,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"It's too low to get under yeah, yeah"
153,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
154,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
155,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"It's too high to get over yeah, yeah"
156,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And too low to get under yeah, yeah"
157,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"You're stuck in the middle yeah, yeah"
158,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"And the pain is thunder yeah, yeah"
159,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Lift your head up high
160,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',And scream out to the world
161,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',I know I am someone
162,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',And let the truth unfurl
163,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',No one can hurt you now
164,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Because you know what's true
165,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Yes, I believe in me"
166,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',So you believe in you
167,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Help me sing it,"
168,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',[6x]
169,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
170,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
171,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Help me sing it!
172,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Sing it to the world
173,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Sing it out loud
174,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Help me sing it!
175,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',[8x]
176,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
177,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
178,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"woo hoo, he he he"
179,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Help me sing it!
180,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"woo hoo, he he he"
181,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Sing it to the world
182,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',[6x]
183,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
184,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"Ma ma se, ma ma sa, ma ma coo sa"
185,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',"woo hoo, he he he"
186,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Help me sing it baby!
187,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Sing it to the world
188,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',Sing it out loud
189,1982,Michael Jackson,Thriller,Baby Be Mine,I don't need no dreams when I'm by your side
190,1982,Michael Jackson,Thriller,Baby Be Mine,Every moment takes me to paradise
191,1982,Michael Jackson,Thriller,Baby Be Mine,Darlin' let me hold you
192,1982,Michael Jackson,Thriller,Baby Be Mine,Warm you in my arms and melt your fears away
193,1982,Michael Jackson,Thriller,Baby Be Mine,Show you all the magic that a perfect love can make
194,1982,Michael Jackson,Thriller,Baby Be Mine,I need you night and day
195,1982,Michael Jackson,Thriller,Baby Be Mine,So baby be mine baby you gotta be mine
196,1982,Michael Jackson,Thriller,Baby Be Mine,And girl I'll give you all I got to give
197,1982,Michael Jackson,Thriller,Baby Be Mine,So baby be my girl all the time
198,1982,Michael Jackson,Thriller,Baby Be Mine,And we can share this ecstasy
199,1982,Michael Jackson,Thriller,Baby Be Mine,As long as we believe in love
200,1982,Michael Jackson,Thriller,Baby Be Mine,I won't give you reason to change your mind
201,1982,Michael Jackson,Thriller,Baby Be Mine,I guess it's still you thrill me baby be mine
202,1982,Michael Jackson,Thriller,Baby Be Mine,You are all the future that I desire
203,1982,Michael Jackson,Thriller,Baby Be Mine,Girl I need to hold you
204,1982,Michael Jackson,Thriller,Baby Be Mine,Share my feelings in the heat of love's embrace
205,1982,Michael Jackson,Thriller,Baby Be Mine,Show you all the passion burning in my heart today
206,1982,Michael Jackson,Thriller,Baby Be Mine,It's never gonna fade
207,1982,Michael Jackson,Thriller,Baby Be Mine,So baby be mine baby you gotta be mine
208,1982,Michael Jackson,Thriller,Baby Be Mine,And girl I'll give you all I got to give
209,1982,Michael Jackson,Thriller,Baby Be Mine,So baby be my girl all the time
210,1982,Michael Jackson,Thriller,Baby Be Mine,You're everything this world could be
211,1982,Michael Jackson,Thriller,Baby Be Mine,The reason that I live
212,1982,Michael Jackson,Thriller,Baby Be Mine,Won't you stay with me until the mornin' sun
213,1982,Michael Jackson,Thriller,Baby Be Mine,I promise you now that the dawn will be different
214,1982,Michael Jackson,Thriller,Baby Be Mine,Lady can't you see that heaven's just begun
215,1982,Michael Jackson,Thriller,Baby Be Mine,It's livin' here inside our hearts
216,1982,Michael Jackson,Thriller,Baby Be Mine,There'll be no more mountains for us to climb
217,1982,Michael Jackson,Thriller,Baby Be Mine,I can't be still you thrill me baby be mine
218,1982,Michael Jackson,Thriller,Baby Be Mine,This will be a love lasting for all time
219,1982,Michael Jackson,Thriller,Baby Be Mine,Girl you got to hold me
220,1982,Michael Jackson,Thriller,Baby Be Mine,We can touch the sky and light the darkest day
221,1982,Michael Jackson,Thriller,Baby Be Mine,Hold me only you and I can make sweet love this way
222,1982,Michael Jackson,Thriller,Baby Be Mine,There's no more I can say
223,1982,Michael Jackson,Thriller,Baby Be Mine,So baby be mine baby you gotta be mine
224,1982,Michael Jackson,Thriller,Baby Be Mine,tell me that you love me
225,1982,Michael Jackson,Thriller,Baby Be Mine,And girl I'll give you all I got to give
226,1982,Michael Jackson,Thriller,Baby Be Mine,say you're thinking of me
227,1982,Michael Jackson,Thriller,Baby Be Mine,So baby be mine all the time
228,1982,Michael Jackson,Thriller,Baby Be Mine,show me how it should be
229,1982,Michael Jackson,Thriller,Baby Be Mine,You're everything this world could be
230,1982,Michael Jackson,Thriller,Baby Be Mine,The reason that I live
231,1982,Michael Jackson,Thriller,Baby Be Mine,every night it feels alright
232,1982,Michael Jackson,Thriller,Baby Be Mine,Baby be my girl
233,1982,Michael Jackson,Thriller,Baby Be Mine,tell me that you love me
234,1982,Michael Jackson,Thriller,Baby Be Mine,And girl I'll give you all I got to give
235,1982,Michael Jackson,Thriller,Baby Be Mine,say you're thinking of me
236,1982,Michael Jackson,Thriller,Baby Be Mine,"So baby, be mine, baby, be mine"
237,1982,Michael Jackson,Thriller,Baby Be Mine,show me how it should be
238,1982,Michael Jackson,Thriller,Baby Be Mine,You're everything this world could be to me
239,1982,Michael Jackson,Thriller,Baby Be Mine,every night it feels alright
240,1982,Michael Jackson,Thriller,Baby Be Mine,C'mon girl c'mon girl
241,1982,Michael Jackson,Thriller,Baby Be Mine,tell me that you love me
242,1982,Michael Jackson,Thriller,Baby Be Mine,say you're thinking of me
243,1982,Michael Jackson,Thriller,Baby Be Mine,So baby be mine
244,1982,Michael Jackson,Thriller,Baby Be Mine,show me how it should be
245,1982,Michael Jackson,Thriller,Baby Be Mine,You're everything this world could be to me
246,1982,Michael Jackson,Thriller,Baby Be Mine,every night it feels alright
247,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
248,1982,Michael Jackson,Thriller,The Girl Is Mine,Every night she walks right in my dreams
249,1982,Michael Jackson,Thriller,The Girl Is Mine,Since I met her from the start
250,1982,Michael Jackson,Thriller,The Girl Is Mine,I'm so proud I am the only one
251,1982,Michael Jackson,Thriller,The Girl Is Mine,Who is special in her heart
252,1982,Michael Jackson,Thriller,The Girl Is Mine,The girl is mine
253,1982,Michael Jackson,Thriller,The Girl Is Mine,The doggone girl is mine
254,1982,Michael Jackson,Thriller,The Girl Is Mine,I know she's mine
255,1982,Michael Jackson,Thriller,The Girl Is Mine,Because the doggone girl is mine
256,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
257,1982,Michael Jackson,Thriller,The Girl Is Mine,I don't understand the way you think
258,1982,Michael Jackson,Thriller,The Girl Is Mine,Saying that she's yours not mine
259,1982,Michael Jackson,Thriller,The Girl Is Mine,Sending roses and your silly dreams
260,1982,Michael Jackson,Thriller,The Girl Is Mine,Really just a waste of time
261,1982,Michael Jackson,Thriller,The Girl Is Mine,Because she's mine
262,1982,Michael Jackson,Thriller,The Girl Is Mine,The doggone girl is mine
263,1982,Michael Jackson,Thriller,The Girl Is Mine,Don't waste your time
264,1982,Michael Jackson,Thriller,The Girl Is Mine,Because the doggone girl is mine
265,1982,Michael Jackson,Thriller,The Girl Is Mine,[Paul:]
266,1982,Michael Jackson,Thriller,The Girl Is Mine,I love you more than he
267,1982,Michael Jackson,Thriller,The Girl Is Mine,take you anywhere
268,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael:]
269,1982,Michael Jackson,Thriller,The Girl Is Mine,But I love you endlessly
270,1982,Michael Jackson,Thriller,The Girl Is Mine,loving we will share
271,1982,Michael Jackson,Thriller,The Girl Is Mine,[Michael and Paul:]
