X.,song,word,sentiment
233,Baby Be Mine,baby,positive
234,Baby Be Mine,love,joy
234,Baby Be Mine,love,positive
237,Baby Be Mine,baby,joy
237,Baby Be Mine,baby,positive
237,Baby Be Mine,baby,joy
237,Baby Be Mine,baby,positive
238,Baby Be Mine,show,trust
242,Baby Be Mine,love,joy
242,Baby Be Mine,love,positive
244,Baby Be Mine,baby,joy
244,Baby Be Mine,baby,positive
245,Baby Be Mine,show,trust
250,The Girl Is Mine,start,anticipation
251,The Girl Is Mine,proud,anticipation
251,The Girl Is Mine,proud,joy
251,The Girl Is Mine,proud,positive
251,The Girl Is Mine,proud,trust
252,The Girl Is Mine,special,joy
252,The Girl Is Mine,special,positive
260,The Girl Is Mine,silly,joy
260,The Girl Is Mine,silly,negative
261,The Girl Is Mine,waste,disgust
261,The Girl Is Mine,waste,negative
261,The Girl Is Mine,time,anticipation
264,The Girl Is Mine,waste,disgust
264,The Girl Is Mine,waste,negative
264,The Girl Is Mine,time,anticipation
267,The Girl Is Mine,love,joy
267,The Girl Is Mine,love,positive
270,The Girl Is Mine,love,joy
270,The Girl Is Mine,love,positive
271,The Girl Is Mine,loving,joy
271,The Girl Is Mine,loving,positive
271,The Girl Is Mine,loving,trust
271,The Girl Is Mine,share,anticipation
271,The Girl Is Mine,share,joy
271,The Girl Is Mine,share,positive
271,The Girl Is Mine,share,trust
281,The Girl Is Mine,build,positive
282,The Girl Is Mine,time,anticipation
288,The Girl Is Mine,waste,disgust
288,The Girl Is Mine,waste,negative
288,The Girl Is Mine,time,anticipation
299,The Girl Is Mine,waste,disgust
299,The Girl Is Mine,waste,negative
299,The Girl Is Mine,time,anticipation
303,The Girl Is Mine,fight,anger
303,The Girl Is Mine,fight,fear
303,The Girl Is Mine,fight,negative
305,The Girl Is Mine,lover,anticipation
305,The Girl Is Mine,lover,joy
305,The Girl Is Mine,lover,positive
305,The Girl Is Mine,lover,trust
308,The Girl Is Mine,lover,anticipation
308,The Girl Is Mine,lover,joy
308,The Girl Is Mine,lover,positive
308,The Girl Is Mine,lover,trust
310,The Girl Is Mine,loving,joy
310,The Girl Is Mine,loving,positive
310,The Girl Is Mine,loving,trust
310,The Girl Is Mine,love,joy
310,The Girl Is Mine,love,positive
328,Beat It,disappear,fear
329,Beat It,words,anger
329,Beat It,words,negative
333,Beat It,tough,negative
333,Beat It,tough,sadness
334,Beat It,bad,anger
334,Beat It,bad,disgust
334,Beat It,bad,fear
334,Beat It,bad,negative
334,Beat It,bad,sadness
335,Beat It,chorus,positive
337,Beat It,defeated,negative
337,Beat It,defeated,sadness
338,Beat It,fight,anger
338,Beat It,fight,fear
338,Beat It,fight,negative
339,Beat It,wrong,negative
341,Beat It,leave,negative
341,Beat It,leave,sadness
341,Beat It,leave,surprise
342,Beat It,boy,disgust
342,Beat It,boy,negative
343,Beat It,alive,anticipation
343,Beat It,alive,joy
343,Beat It,alive,positive
343,Beat It,alive,trust
345,Beat It,show,trust
346,Beat It,truth,positive
346,Beat It,truth,trust
346,Beat It,dare,anticipation
346,Beat It,dare,trust
347,Beat It,kick,anger
347,Beat It,kick,negative
347,Beat It,fair,positive
348,Beat It,bad,anger
348,Beat It,bad,disgust
348,Beat It,bad,fear
348,Beat It,bad,negative
348,Beat It,bad,sadness
349,Beat It,chorus,positive
351,Beat It,defeated,negative
351,Beat It,defeated,sadness
352,Beat It,fight,anger
352,Beat It,fight,fear
352,Beat It,fight,negative
353,Beat It,wrong,negative
356,Beat It,defeated,negative
356,Beat It,defeated,sadness
357,Beat It,fight,anger
357,Beat It,fight,fear
357,Beat It,fight,negative
358,Beat It,wrong,negative
359,Beat It,chorus,positive
361,Beat It,defeated,negative
361,Beat It,defeated,sadness
362,Beat It,fight,anger
362,Beat It,fight,fear
362,Beat It,fight,negative
363,Beat It,wrong,negative
366,Billie Jean,beauty,joy
366,Billie Jean,beauty,positive
370,Billie Jean,dance,joy
370,Billie Jean,dance,positive
370,Billie Jean,dance,trust
372,Billie Jean,dance,joy
372,Billie Jean,dance,positive
372,Billie Jean,dance,trust
376,Billie Jean,dance,joy
376,Billie Jean,dance,positive
376,Billie Jean,dance,trust
377,Billie Jean,careful,positive
378,Billie Jean,young,anticipation
378,Billie Jean,young,joy
378,Billie Jean,young,positive
378,Billie Jean,young,surprise
379,Billie Jean,mother,anticipation
379,Billie Jean,mother,joy
379,Billie Jean,mother,negative
379,Billie Jean,mother,positive
379,Billie Jean,mother,sadness
379,Billie Jean,mother,trust
379,Billie Jean,careful,positive
379,Billie Jean,love,joy
379,Billie Jean,love,positive
380,Billie Jean,careful,positive
381,Billie Jean,lie,anger
381,Billie Jean,lie,disgust
381,Billie Jean,lie,negative
381,Billie Jean,lie,sadness
381,Billie Jean,truth,positive
381,Billie Jean,truth,trust
382,Billie Jean,lover,anticipation
382,Billie Jean,lover,joy
382,Billie Jean,lover,positive
382,Billie Jean,lover,trust
388,Billie Jean,law,trust
390,Billie Jean,demand,anger
390,Billie Jean,demand,negative
393,Billie Jean,advice,trust
396,Billie Jean,baby,joy
396,Billie Jean,baby,positive
398,Billie Jean,baby,joy
398,Billie Jean,baby,positive
398,Billie Jean,cry,negative
398,Billie Jean,cry,sadness
400,Billie Jean,dance,joy
400,Billie Jean,dance,positive
400,Billie Jean,dance,trust
400,Billie Jean,baby,joy
400,Billie Jean,baby,positive
401,Billie Jean,careful,positive
402,Billie Jean,young,anticipation
402,Billie Jean,young,joy
402,Billie Jean,young,positive
402,Billie Jean,young,surprise
403,Billie Jean,break,surprise
405,Billie Jean,smell,anger
405,Billie Jean,smell,disgust
405,Billie Jean,smell,negative
405,Billie Jean,sweet,anticipation
405,Billie Jean,sweet,joy
405,Billie Jean,sweet,positive
405,Billie Jean,sweet,surprise
