sl,Year,artist,album,song,word
122,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',sayin
122,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
122,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
122,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
123,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
123,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
123,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
124,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
124,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
125,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',wanna
125,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
125,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
126,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',startin
126,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',somethin
127,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
127,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
128,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
128,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
128,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
129,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
129,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
129,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
129,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
130,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
130,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
130,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
130,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
131,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
131,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
132,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',low
132,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
132,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
133,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stuck
133,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',middle
133,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
133,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
134,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',pain
134,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',thunder
134,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
134,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
135,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
135,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
136,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',hate
136,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
137,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',buffet
137,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
138,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',eat
138,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',vegetable
139,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',feed
139,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
139,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
139,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
140,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
140,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
140,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
141,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
141,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
142,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',feed
142,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby
142,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
142,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',yeah
143,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',tryin
144,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stop
144,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',child
144,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',cryin
145,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',hustlin
145,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',stealin
145,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',lyin
146,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',baby's
146,1982,Michael Jackson,Thriller,Wanna Be Startin' Somethin',slowly
