Date,Open,High,Low,Close,Adj Close,Volume
2015-05-20,86.000000,87.000000,84.519997,85.690002,83.374062,438
2015-05-21,92.000000,92.000000,92.000000,92.000000,89.513512,1
2015-05-22,93.000000,93.000000,93.000000,93.000000,90.486488,1
2015-05-25,88.000000,88.000000,88.000000,88.000000,85.621620,5
2015-05-26,93.000000,93.000000,93.000000,93.000000,90.486488,1
2015-05-27,93.000000,96.000000,93.000000,93.000000,90.486488,51
2015-05-28,94.000000,94.000000,94.000000,94.000000,91.459457,1
2015-05-29,93.900002,94.000000,93.900002,94.000000,91.459457,2
2015-06-01,93.000000,93.000000,93.000000,93.000000,90.486488,1
2015-06-02,93.000000,93.000000,93.000000,93.000000,90.486488,1
2015-06-03,87.000000,91.699997,83.019997,84.419998,82.138374,5359
2015-06-04,87.000000,89.800003,86.000000,86.000000,83.675674,818
2015-06-05,84.110001,88.000000,82.099998,86.339996,84.006485,1592
2015-06-08,87.000000,88.480003,84.099998,84.099998,81.827026,1125
2015-06-09,99.699997,99.699997,99.000000,99.000000,96.324326,2
2015-06-10,99.000000,99.000000,99.000000,99.000000,96.324326,1
2015-06-11,98.000000,98.000000,98.000000,98.000000,95.351357,1
2015-06-12,98.000000,98.000000,98.000000,98.000000,95.351357,1
2015-06-15,97.000000,97.000000,97.000000,97.000000,94.378380,1
2015-06-16,97.000000,97.000000,97.000000,97.000000,94.378380,1
2015-06-17,97.900002,98.000000,97.900002,98.000000,95.351357,2
2015-06-18,84.389999,84.800003,84.389999,84.750000,82.459457,429
2015-06-19,98.900002,99.000000,98.900002,99.000000,96.324326,2
2015-06-22,85.000000,86.000000,85.000000,85.970001,83.646492,381
2015-06-23,99.000000,99.000000,99.000000,99.000000,96.324326,5
2015-06-24,99.000000,99.000000,98.800003,98.800003,96.129738,102
2015-06-25,84.250000,85.599998,83.349998,84.889999,82.595680,998
2015-06-26,84.750000,84.980003,84.750000,84.949997,82.654053,159
2015-06-29,98.800003,98.800003,98.800003,98.800003,96.129738,48
2015-06-30,85.000000,86.489998,85.000000,85.970001,83.646492,480
2015-07-01,87.000000,87.000000,86.199997,87.000000,84.648651,19
2015-07-02,85.000000,86.699997,85.000000,86.110001,83.782707,1200
2015-07-03,103.500000,103.500000,86.000000,86.750000,84.405403,24
2015-07-06,103.900002,103.900002,87.000000,87.000000,84.648651,26
2015-07-07,100.000000,100.000000,100.000000,100.000000,97.297302,1
2015-07-08,87.000000,87.000000,87.000000,87.000000,84.648651,1
2015-07-09,86.599998,86.639999,85.900002,85.949997,83.627022,368
2015-07-10,100.000000,102.900002,100.000000,102.900002,100.118919,2
2015-07-13,102.400002,102.500000,92.000000,92.000000,89.513512,503
2015-07-14,101.000000,101.000000,85.300003,88.400002,86.010811,26
2015-07-15,90.000000,90.000000,85.099998,85.199997,82.897293,22
2015-07-16,90.000000,90.000000,90.000000,90.000000,87.567566,2
2015-07-17,100.000000,100.000000,90.000000,90.000000,87.567566,2
2015-07-20,87.879997,90.500000,87.510002,88.949997,86.545944,462
2015-07-21,100.000000,100.000000,90.000000,90.000000,87.567566,11
2015-07-22,94.900002,94.900002,90.000000,90.000000,87.567566,8
2015-07-23,105.000000,105.000000,90.000000,90.000000,87.567566,15
2015-07-24,89.000000,90.000000,89.000000,90.000000,87.567566,2
2015-07-27,105.000000,105.000000,85.650002,85.650002,83.335136,73
2015-07-28,94.000000,94.000000,94.000000,94.000000,91.459457,1
2015-07-29,92.000000,92.000000,92.000000,92.000000,89.513512,1
2015-07-30,90.000000,90.000000,87.500000,87.550003,85.183784,36
2015-07-31,100.000000,100.000000,91.250000,91.250000,88.783783,3
2015-08-03,95.000000,95.000000,95.000000,95.000000,92.432434,5
2015-08-04,94.900002,94.900002,93.699997,93.699997,91.167564,2
2015-08-05,100.000000,100.000000,85.500000,86.500000,84.162163,213
2015-08-06,87.449997,87.449997,87.449997,87.449997,85.086487,1
2015-08-07,89.900002,89.900002,87.449997,87.449997,85.086487,23
2015-08-10,90.000000,90.000000,88.900002,88.900002,86.497299,51
2015-08-11,87.300003,87.599998,87.300003,87.599998,85.232430,2
2015-08-12,85.050003,86.040001,85.000000,85.199997,82.897293,710
2015-08-13,85.599998,85.919998,85.349998,85.349998,83.043243,239
2015-08-14,86.250000,86.910004,86.250000,86.779999,84.434593,156
2015-08-17,86.250000,87.230003,86.250000,86.500000,84.162163,505
2015-08-18,90.000000,90.000000,90.000000,90.000000,87.567566,21
2015-08-19,85.699997,88.599998,85.589996,86.300003,83.967575,856
2015-08-20,88.279999,88.279999,85.690002,86.000000,83.675674,284
2015-08-21,94.900002,94.900002,83.000000,83.000000,80.756760,2
2015-08-24,90.000000,90.000000,90.000000,90.000000,87.567566,5
2015-08-25,84.849998,85.000000,83.099998,85.000000,82.702705,796
2015-08-26,86.000000,86.000000,83.000000,84.900002,82.605408,1216
2015-08-27,85.750000,85.800003,82.510002,82.699997,80.464867,1806
2015-08-28,85.699997,87.500000,83.000000,83.000000,80.756760,801
2015-08-31,85.500000,92.849998,83.500000,83.660004,81.398926,4940
2015-09-01,83.500000,87.800003,81.209999,83.500000,81.243248,908
2015-09-02,86.500000,94.550003,83.889999,85.400002,83.091896,2682
2015-09-03,93.800003,93.800003,93.800003,93.800003,91.264870,4
2015-09-04,85.900002,85.900002,85.900002,85.900002,83.578384,4
2015-09-07,87.000000,87.000000,87.000000,87.000000,84.648651,2
2015-09-08,85.000000,87.550003,83.650002,85.809998,83.490807,760
2015-09-09,86.000000,87.480003,86.000000,87.089996,84.736214,223
2015-09-10,84.000000,87.480003,84.000000,86.260002,83.928650,589
2015-09-11,87.000000,87.000000,84.699997,86.989998,84.638916,578
2015-09-14,87.400002,88.779999,85.000000,86.919998,84.570808,702
2015-09-15,87.000000,89.989998,86.050003,86.050003,83.724327,346
2015-09-16,85.500000,89.750000,85.110001,89.500000,87.081085,260
2015-09-18,96.699997,96.699997,90.000000,90.000000,87.567566,42
2015-09-21,82.529999,82.970001,82.529999,82.970001,80.727570,1374
2015-09-22,83.000000,83.139999,80.769997,81.500000,79.297302,2681
2015-09-23,84.000000,86.000000,84.000000,85.500000,83.189194,12
2015-09-24,81.349998,81.400002,81.349998,81.400002,79.200005,79
2015-09-28,85.000000,85.000000,83.000000,83.000000,80.756760,110
2015-09-29,81.000000,87.879997,81.000000,84.699997,82.410812,5336
2015-09-30,89.900002,89.900002,89.900002,89.900002,87.470276,2
2015-10-01,85.000000,86.379997,84.010002,84.010002,81.739464,392
2015-10-05,85.940002,85.949997,83.660004,85.019997,82.722160,779
2015-10-06,85.400002,85.480003,85.400002,85.480003,83.169731,108
2015-10-07,85.900002,85.900002,85.400002,85.400002,83.091896,53
2015-10-08,84.099998,85.669998,84.000000,85.250000,82.945946,694
2015-10-09,84.500000,86.000000,84.129997,84.129997,81.856216,10618
2015-10-12,84.650002,86.379997,83.599998,83.599998,81.340538,954
2015-10-13,84.500000,85.949997,82.500000,85.949997,83.627022,551
2015-10-14,83.849998,83.849998,83.739998,83.739998,81.476753,98
2015-10-15,84.349998,84.459999,83.250000,83.550003,81.291893,316
2015-10-16,84.300003,84.339996,83.250000,84.000000,81.729729,360
2015-10-19,86.500000,86.500000,86.500000,86.500000,84.162163,21
2015-10-20,85.000000,85.389999,84.300003,84.940002,82.644325,373
2015-10-21,84.099998,85.250000,84.099998,84.300003,82.021629,915
2015-10-23,88.900002,88.900002,88.900002,88.900002,86.497299,5
2015-10-26,83.900002,83.900002,83.260002,83.620003,81.360001,176
2015-10-27,82.599998,83.000000,81.199997,82.970001,80.727570,6497
2015-10-28,83.500000,83.529999,83.150002,83.150002,80.902702,5590
2015-10-29,83.190002,83.400002,82.879997,83.400002,81.145950,2520
2015-10-30,83.699997,83.949997,83.000000,83.000000,80.756760,231
2015-11-02,83.000000,83.250000,82.099998,83.000000,80.756760,546
2015-11-03,87.000000,87.000000,85.699997,85.699997,83.383781,24
2015-11-04,83.400002,83.480003,82.320000,82.320000,80.095139,173
2015-11-05,87.949997,87.949997,85.400002,85.400002,83.091896,4
2015-11-06,82.800003,82.879997,81.180000,82.000000,79.783783,3512
2015-11-09,82.000000,82.000000,80.750000,81.699997,79.491890,909
2015-11-10,86.949997,86.949997,84.449997,84.449997,82.167564,12
2015-11-13,81.000000,81.000000,80.050003,80.300003,78.129730,2590
2015-11-16,80.000000,80.989998,78.250000,80.989998,78.801079,302
2015-11-17,81.099998,81.260002,80.750000,80.750000,78.567566,622
2015-11-18,78.800003,83.699997,76.699997,83.199997,80.951347,150
2015-11-19,79.000000,79.000000,79.000000,79.000000,76.864868,8
2015-11-20,81.099998,81.809998,81.000000,81.010002,78.820541,1234
2015-11-23,89.900002,89.900002,85.900002,85.900002,83.578384,10
2015-11-24,82.980003,82.980003,79.500000,79.610001,77.458382,1058
